name,total_enrollment,state,women_proportion,AIAN_proportion,Asian_proportion,Black_proportion,Hispanic_proportion,NHPI_proportion,White_proportion,MultiRace_proportion,Foreign_proportion,early_career_pay,stem_percent,net_cost,type,degree_length,in_state_total,out_of_state_total
Colorado Mesa University,9116,Colorado,0.5401491882404563,0.007459412022817,0.0138218516893374,0.0239139973672663,0.1523694602896007,0.0060333479596314,0.7227950855638438,0.0343352347520842,0.0057042562527424,47800,7,13895.0,Public,4 Year,20168,33365
Colorado School of Mines,5962,Colorado,0.2831264676283127,0.002180476350218,0.0387453874538745,0.0087219054008721,0.0699429721569943,0.0005031868500503,0.7066420664206642,0.0409258638040925,0.1147266018114726,75600,93,19089.0,Public,4 Year,32133,51753
Columbus State University,8192,Georgia,0.59765625,0.0042724609375,0.021484375,0.3565673828125,0.052490234375,0.00244140625,0.526123046875,0.022216796875,0.0140380859375,43300,10,9965.0,Public,4 Year,17080,30562
Cornell University,21679,New York,0.4846625766871165,0.0029521656902993,0.1443332257022925,0.0488491166566723,0.0919784122883896,0.0006919138336639,0.3966511370450666,0.0351492227501268,0.2022233497855067,70100,43,9980.0,Private,4 Year,70004,70004
Creighton University,8236,Nebraska,0.5724866440019427,0.0043710539096648,0.0900922778047595,0.0400679941719281,0.0573093734822729,0.0030354541039339,0.7237736765420106,0.0314473045167557,0.0237979601748421,53500,9,19205.0,Private,4 Year,50952,50952
Dakota State University,3047,South Dakota,0.447653429602888,0.0082047915982934,0.0200196914998359,0.04725959960617,0.0377420413521496,0.0019691499835904,0.8021004266491631,0.0246143747948802,0.0380702330160813,48400,53,10254.0,Public,4 Year,16149,19122
Dartmouth College,6298,New Hampshire,0.4711019371228961,0.0161956176563988,0.1230549380755795,0.054144172753255,0.0708161321054303,0.0011114639568116,0.471260717688155,0.038901238488409,0.153064464909495,71500,35,8094.0,Private,4 Year,71209,71209
DePaul University,23799,Illinois,0.5315349384427918,0.0007983528719694,0.0746670028152443,0.0892054287995293,0.1423589226438085,0.0015546871717299,0.5408210429009622,0.0334047649060884,0.0580276482205134,55700,15,19812.0,Private,4 Year,54210,54210
DePauw University,2215,Indiana,0.5422121896162528,0.0027088036117381,0.0338600451467268,0.0568848758465011,0.0343115124153498,0.0,0.6848758465011286,0.0650112866817155,0.0939051918735891,56600,24,14723.0,Private,4 Year,62724,62724
Delaware State University,4397,Delaware,0.6277007050261542,0.0027291335001137,0.0106891062087787,0.6631794405276324,0.0513986809188082,0.0011371389583807,0.1225835797134409,0.0363884466681828,0.0491244030020468,46300,10,17872.0,Public,4 Year,20058,29094
Delta State University,3614,Mississippi,0.6209186496956282,0.0011068068622025,0.0066408411732152,0.3666297731045932,0.0124515771997786,0.0013835085777531,0.5633646928610957,0.0063641394576646,0.0307138904261206,40800,5,6632.0,Public,4 Year,14968,14968
Denison University,2278,Ohio,0.5763827919227392,0.0004389815627743,0.0368744512730465,0.0693590869183494,0.1005267778753292,0.0008779631255487,0.6650570676031606,0.035118525021949,0.0724319578577699,54400,22,41577.0,Private,4 Year,64670,64670
Dickinson College,2364,Pennsylvania,0.5807952622673435,0.0004230118443316,0.0232656514382402,0.0410321489001692,0.060067681895093,0.0004230118443316,0.7356175972927242,0.0338409475465313,0.0858714043993231,55800,25,14932.0,Private,4 Year,68359,68359
Drake University,5062,Iowa,0.5875148162781509,0.0019755037534571,0.0395100750691426,0.0316080600553141,0.0322007111813512,0.0001975503753457,0.811932042670881,0.0156064796523113,0.0555116554721454,52800,7,21139.0,Private,4 Year,51924,51924
Drew University,2113,New Jersey,0.5901561760530052,0.0018930430667297,0.0496923805016564,0.117841930903928,0.0965451964032181,0.0009465215333648,0.4808329389493611,0.0246095598674869,0.0851869380028395,52800,16,18085.0,Private,4 Year,53608,53608
Drexel University,26359,Pennsylvania,0.5247922910580827,0.0015175082514511,0.1169619484805948,0.0779619864183011,0.0540232937516597,0.004097272278918,0.5523350658219204,0.026214955043818,0.1251564930384309,61700,28,26049.0,Private,4 Year,67358,67358
Drury University,4215,Missouri,0.6045077105575326,0.0097271648873072,0.0113879003558718,0.0377224199288256,0.0488730723606168,0.0016607354685646,0.8241992882562278,0.0199288256227758,0.0465005931198102,42600,12,13659.0,Private,4 Year,36461,36461
Duke University,15856,North Carolina,0.4976664984863774,0.0041624621594349,0.1430373360242179,0.0729061553985872,0.0502648839556004,0.0012613521695257,0.4911074672048436,0.0232719475277497,0.1828329969727548,71100,26,3813.0,Private,4 Year,70873,70873
East Carolina University,27511,North Carolina,0.597978990222093,0.0065791865072152,0.028424993638908,0.1584457126240412,0.0544509468939696,0.0009450765148486,0.6927410853840282,0.0286430882192577,0.0091599723746864,48400,11,8961.0,Public,4 Year,16794,33071
East Tennessee State University,14434,Tennessee,0.5798115560482194,0.0026326728557572,0.0160731605930442,0.0595815435776638,0.0200914507413052,0.0006235277816267,0.829084106969655,0.0236247748371899,0.0338090619370929,43700,8,12568.0,Public,4 Year,17749,36931
Eastern Connecticut State University,5287,Connecticut,0.5292226215244941,0.0030262909022129,0.0285606203896349,0.0654435407603555,0.0911670134291658,0.0011348590883298,0.693398902969548,0.0259126158501986,0.0104028749763571,49200,14,13169.0,Public,4 Year,24916,36156
Eastern Kentucky University,16305,Kentucky,0.5748543391597669,0.0030052131248083,0.0087089849739343,0.0593069610548911,0.020423183072677,0.0011652867218644,0.8307267709291628,0.0218951241950321,0.0182152713891444,45600,5,8357.0,Public,4 Year,18314,28092
Eastern Michigan University,22401,Michigan,0.5964912280701754,0.0023213249408508,0.0252220882996294,0.181197267979108,0.0370519173251194,0.0006696129637069,0.6633186018481317,0.0314271684299808,0.0337038525065845,47300,6,11588.0,Public,4 Year,23813,23813
Eastern Oregon University,3653,Oregon,0.6408431426225021,0.022721051190802,0.0210785655625513,0.0271010128661374,0.062688201478237,0.0098549137695045,0.7601970982753901,0.0128661374212975,0.0136873802354229,44000,5,10894.0,Public,4 Year,18719,30779
Eastern Washington University,13453,Washington,0.5561584776629748,0.0124135880472757,0.0293614807106221,0.032111796625288,0.1317178324537277,0.0027503159146658,0.6442429197948413,0.0448970489853564,0.030030476473649,49500,17,7461.0,Public,4 Year,20116,37237
Eckerd College,2083,Florida,0.6207393182909265,0.0033605376860297,0.0168026884301488,0.0484877580412866,0.0782525204032645,0.0019203072491598,0.7662025924147864,0.0288046087373979,0.042726836293807,49200,25,18204.0,Private,4 Year,57128,57128
Edgewood College,2980,Wisconsin,0.7204697986577181,0.0036912751677852,0.024496644295302,0.0275167785234899,0.0510067114093959,0.0013422818791946,0.7506711409395973,0.0221476510067114,0.0419463087248322,49500,5,14972.0,Private,4 Year,40520,40520
Elon University,6483,North Carolina,0.5947863643374981,0.0044732376985963,0.0225204380687953,0.0603115841431436,0.0487428659571186,0.0004627487274409,0.8158260064784821,0.0169674533395033,0.0165047046120623,53600,7,19047.0,Private,4 Year,47549,47549
Emory University,14769,Georgia,0.565305707901686,0.0017604441736068,0.1544451215383573,0.0998036427652515,0.0591780079897081,0.0005416751303405,0.4492518112262171,0.0228857742568894,0.1595910352765928,62000,20,17035.0,Private,4 Year,65762,65762
Emporia State University,6114,Kansas,0.6277396140006543,0.0047432122996401,0.0085050703303892,0.0444880601897284,0.0554465161923454,0.0011449133137062,0.722113182859012,0.0467778868171409,0.0901210336931632,43500,9,8949.0,Public,4 Year,15670,29587
Fairfield University,5123,Connecticut,0.6014054265079055,0.0005855943782939,0.0220573882490728,0.0267421432754245,0.0687097403864922,0.0009759906304899,0.6982236970525083,0.0130782744485652,0.0663673628733164,62300,17,21409.0,Private,4 Year,63060,63060
Fairmont State University,4035,West Virginia,0.5588599752168525,0.0037174721189591,0.0044609665427509,0.0530359355638166,0.0188351920693928,0.0007434944237918,0.8604708798017349,0.0237918215613382,0.026270136307311,42900,7,8571.0,Public,4 Year,16518,25328
