name,total_enrollment,state,women_proportion,AIAN_proportion,Asian_proportion,Black_proportion,Hispanic_proportion,NHPI_proportion,White_proportion,MultiRace_proportion,Foreign_proportion
Anne Arundel Community College,15274,Maryland,0.5953253895508708,0.005499541704857928,0.03816943826109729,0.16727772685609532,0.059971192876784075,0.002749770852428964,0.6116276024616997,0.031425952599188164,0.009100432106848239
Anoka Technical College,2221,Minnesota,0.5826204412426835,0.00585321927059883,0.03782080144079244,0.07384061233678524,0.039171544349392164,0.0013507429085997298,0.7892841062584421,0.031067086897793788,0.00045024763619990995
Anoka-Ramsey Community College,7877,Minnesota,0.6150818839659768,0.004316364098006856,0.04341754475053954,0.07502856417417798,0.04075155516059414,0.001523422622825949,0.7798654310016504,0.0416402183572426,0.004316364098006856
Antelope Valley College,14578,California,0.5929482782274661,0.004184387433118397,0.032446151735491834,0.2072300727123062,0.4628892852243106,0.0016463163671285499,0.2311702565509672,0.04685141994786665,0.0010975442447523666
Appalachian State University,18026,North Carolina,0.5533118828359037,0.0024409186730278486,0.014811938311328082,0.032397647842005994,0.03894374791967158,0.0006102296682569621,0.8569288805059359,0.024464662154665483,0.011982691667591257
Arapahoe Community College,10401,Colorado,0.5436015767714643,0.006249399096240746,0.033266032112296895,0.027112777617536776,0.1596961830593212,0.002115181232573791,0.6490722045957119,0.03711181617152197,0.008172291125853283
Arcadia University,3939,Pennsylvania,0.7164254887027164,0.001777100787001777,0.04595074892104595,0.09164762630109165,0.0522975374460523,0.0012693577050012694,0.66996699669967,0.031226199543031227,0.023356181772023355
Argosy University Online Programs,10703,Arizona,0.7140054190413903,0.013641035223769037,0.00710081285620854,0.3444828552742222,0.0841820050453144,0.011305241521068859,0.47575446136597216,0.0,0.0
Arizona State University,50320,Arizona,0.4295310015898251,0.012937201907790142,0.06329491255961844,0.035830683624801275,0.1637321144674086,0.002046899841017488,0.5197734499205088,0.03507551669316375,0.15806836248012718
Arizona State University -Downtown Phoenix,11216,Arizona,0.6759985734664765,0.023359486447931527,0.04404422253922967,0.062232524964336663,0.2541904422253923,0.002942225392296719,0.5472539229671898,0.03664407988587732,0.020952211126961485
Arizona State University -Polytechnic,4094,Arizona,0.2762579384465071,0.02076209086468002,0.0542256961406937,0.03590620420127015,0.18221787982413287,0.004152418172936004,0.5598436736687836,0.032730825598436736,0.1028334147532975
