name,early_career_pay,stem_percent
University of Nevada-Las Vegas,50400,12
Dartmouth College,71500,35
Saint Anselm College,56400,11
University of New Hampshire-Main Campus,54300,23
University of New Hampshire at Manchester,51900,32
New England College,45700,24
Franklin Pierce University,47800,3
Rivier University,49500,41
Colby-Sawyer College,46400,7
Keene State College,48900,8
Southern New Hampshire University,47400,8
Plymouth State University,47000,6
Granite State College,43500,3
Stevens Institute of Technology,75100,79
Princeton University,75200,48
New Jersey Institute of Technology,64600,75
Rutgers University-New Brunswick,59800,29
Seton Hall University,57100,8
Rutgers University-Newark,57900,11
The College of New Jersey,58200,16
Rider University,51600,5
Fairleigh Dickinson University-Florham Campus,53700,6
Fairleigh Dickinson University-Florham Campus,53700,6
Felician University,53200,10
Saint Peter's University,52900,14
Thomas Edison State University,52500,0
Montclair State University,50800,9
Ramapo College of New Jersey,51600,12
Drew University,52800,16
Rutgers University-Camden,51100,9
Monmouth University,52200,13
Fairleigh Dickinson University-Metropolitan Campus,50800,23
Rowan University,51100,21
William Paterson University of New Jersey,50500,7
Kean University,48200,10
Bloomfield College,48400,17
New Jersey City University,48700,9
Stockton University,47400,16
New Mexico Institute of Mining and Technology,64700,91
New Mexico State University-Main Campus,50400,22
University of New Mexico-Main Campus,48400,19
Eastern New Mexico University-Main Campus,44500,5
Western New Mexico University,41700,4
New Mexico Highlands University,40400,4
Albany College of Pharmacy and Health Sciences,81000,2
United States Military Academy,80200,39
United States Merchant Marine Academy,80600,56
SUNY Maritime College,74900,32
Rensselaer Polytechnic Institute,71300,78
Colgate University,68400,26
Clarkson University,66400,58
Cornell University,70100,43
Columbia University in the City of New York,71400,30
Cooper Union for the Advancement of Science and Art,68500,56
Manhattan College,64000,40
New York University,63100,18
Union College (New York),63300,47
Yeshiva University,63500,11
University of Rochester,61100,32
Fordham University,58700,10
Hofstra University,57300,7
Barnard College,59200,19
Binghamton University,61300,34
SUNY Downstate Medical Center,64000,0
Hobart William Smith Colleges,56500,18
Hamilton College,62600,25
Pace University-New York,59800,14
Stony Brook University,59200,35
Duke University,71100,26
Wake Forest University,60700,13
Davidson College,57300,28
North Carolina State University at Raleigh,57300,47
University of North Carolina at Chapel Hill,55000,19
Elon University,53600,7
North Carolina A & T State University,52600,25
University of North Carolina at Charlotte,52500,25
Queens University of Charlotte,49400,9
Lenoir-Rhyne University,46400,7
East Carolina University,48400,11
High Point University,48600,8
Johnson C Smith University,45700,16
Belmont Abbey College,46700,7
Appalachian State University,46600,9
Campbell University,46300,8
University of North Carolina School of the Arts,46400,0
University of North Carolina Wilmington,46400,14
Methodist University,45800,9
North Carolina Wesleyan College,45300,8
Catawba College,42500,11
Pfeiffer University,44200,4
Barton College,42400,6
Western Carolina University,44700,8
North Dakota State University-Main Campus,54200,27
University of North Dakota,53800,16
University of Jamestown,47600,11
Mayville State University,43700,10
Dickinson State University,46400,8
University of Mary,46400,3
Minot State University,44500,7
Valley City State University,39900,3
Case Western Reserve University,66600,37
Miami University-Oxford,57200,22
Wittenberg University,52400,22
University of Dayton,57400,33
Denison University,54400,22
Ohio Northern University,54400,22
Kenyon College,55000,17
Mount Carmel College of Nursing,56600,0
Ohio Wesleyan University,51300,21
Ohio State University-Main Campus,55300,27
John Carroll University,51600,16
University of Cincinnati-Main Campus,53600,19
Oberlin College,53100,21
Marietta College,51200,45
Xavier University,51800,7
Ohio University-Main Campus,51400,9
University of Toledo,51800,21
The College of Wooster,49200,32
University of Akron Main Campus,50700,22
Cleveland State University,48300,20
University of Mount Union,48300,19
The University of Findlay,49100,3
Wright State University-Main Campus,50300,31
Bowling Green State University-Main Campus,47200,11
University of Tulsa,58700,36
University of Oklahoma-Health Sciences Center,57100,3
University of Oklahoma-Norman Campus,54400,23
Oklahoma State University-Main Campus,52800,25
Oklahoma State University Institute of Technology,52600,14
Southwestern Oklahoma State University,47900,5
Oklahoma City University,47700,9
Oklahoma Christian University,49700,41
Oral Roberts University,45900,8
University of Central Oklahoma,45300,8
Langston University,46500,8
Cameron University,43900,14
Southern Nazarene University,46100,5
Southeastern Oklahoma State University,45000,15
Oklahoma Wesleyan University,43300,1
Northeastern State University,44500,7
East Central University,44700,9
Northwestern Oklahoma State University,42200,11
Oklahoma Baptist University,43900,8
Oklahoma Panhandle State University,42300,10
Mid-America Christian University,40700,0
Rogers State University,41400,11
University of Science and Arts of Oklahoma,37300,11
Oregon Health & Science University,65400,10
Oregon Institute of Technology,61200,27
University of Portland,58500,28
Reed College,56100,26
Oregon State University,56200,34
Willamette University,52200,14
University of Oregon,51800,13
Pacific University,50200,8
Lewis & Clark College,50000,12
Linfield College-McMinnville Campus,52100,17
Portland State University,50800,16
George Fox University,51200,8
Concordia University-Portland,48000,1
Southern Oregon University,46000,6
Northwest Christian University,45200,5
Warner Pacific College,45500,10
Marylhurst University,46200,0
Western Oregon University,44500,5
Corban University,42500,1
Multnomah University,40500,0
Eastern Oregon University,44000,5
Carnegie Mellon University,75900,66
Lehigh University,69500,52
University of Pennsylvania,72800,21
Swarthmore College,67500,45
Bucknell University,66700,40
Lafayette College,66500,47
Villanova University,65100,23
University of the Sciences,60700,12
Drexel University,61700,28
Haverford College,59300,36
Franklin and Marshall College,57200,23
Gettysburg College,58400,24
Pennsylvania State University-Main Campus,58500,37
Saint Joseph's University,57300,6
La Salle University,55800,5
Thomas Jefferson University,63400,7
Muhlenberg College,53400,20
Ursinus College,54400,40
Pennsylvania State University-Penn State Harrisburg,55000,31
University of Pittsburgh-Pittsburgh Campus,55900,27
Dickinson College,55800,25
Widener University,55700,13
University of Scranton,56400,12
Grove City College,54400,29
Pennsylvania State University-Penn State Erie-Behrend College,58800,32
Brown University,68200,43
Bryant University,60500,8
Providence College,58900,11
Rhode Island School of Design,55500,0
University of Rhode Island,54500,18
Salve Regina University,53000,6
New England Institute of Technology,51700,14
Roger Williams University,52900,12
Rhode Island College,47200,5
Johnson & Wales University-Online,46200,0
Johnson & Wales University-Providence,46500,5
Citadel Military College of South Carolina,60400,19
Clemson University,57500,39
Furman,52100,16
Wofford College,51300,28
Medical University of South Carolina,54800,6
University of South Carolina-Columbia,50300,20
Presbyterian College,48800,14
College of Charleston,47300,20
University of South Carolina-Upstate,46000,13
South Carolina State University,44500,16
Winthrop University,44300,9
Erskine College,43500,28
Coastal Carolina University,44700,14
Francis Marion University,42900,18
Lander University,42600,9
Limestone College,42100,10
Charleston Southern University,42800,9
University of South Carolina-Aiken,41600,10
Newberry College,41200,14
Southern Wesleyan University,42900,5
Converse College,39000,8
Anderson University (South Carolina),39900,5
Columbia College (South Carolina),39200,6
Benedict College,38100,19
Columbia International University,36600,0
South Dakota School of Mines and Technology,66500,92
South Dakota State University,50500,18
Augustana University,47900,18
University of South Dakota,47500,8
Dakota State University,48400,53
University of Sioux Falls,44400,6
Northern State University,42300,7
Mount Marty College,41400,5
Dakota Wesleyan University,41800,10
Black Hills State University,40400,11
Vanderbilt University,65400,23
Sewanee-The University of the South,53700,17
Rhodes College,51900,25
Christian Brothers University,51500,14
Baptist Memorial College of Health Sciences,55700,4
Tennessee Technological University,53100,28
The University of Tennessee-Knoxville,51200,21
University of Memphis,47200,12
Lipscomb University,49000,12
Southern Adventist University,47500,9
Fisk University,45300,39
Union University,46400,6
The University of Tennessee-Chattanooga,46000,17
Trevecca Nazarene University,45300,5
Middle Tennessee State University,46500,9
Cumberland University,45500,3
Belmont University,47300,3
The University of Tennessee-Martin,44400,10
Tennessee State University,47200,14
Freed-Hardeman University,43700,9
Austin Peay State University,44200,10
East Tennessee State University,43700,8
Carson-Newman University,42700,5
Maryville College,42800,16
Milligan College,41200,5
Rice University,71000,45
The King's University,63800,0
Texas A&M University-College Station,60600,30
The University of Texas at Austin,60700,28
Southern Methodist University,59700,22
The University of Texas Health Science Center at Houston,65400,14
Texas Tech University,56800,22
Texas Tech University Health Sciences Center,61300,3
University of Houston,56000,24
The University of Texas Medical Branch,61100,3
Trinity University,54900,27
Baylor University,55500,16
Lamar University,53300,16
The University of Texas at Dallas,57100,44
The University of Texas Health Science Center at San Antonio,59400,4
The University of Texas at Arlington,55400,22
Prairie View A&M University,57800,22
LeTourneau University,56600,21
Texas Christian University,56000,9
Texas A&M University-Kingsville,53100,53
University of Dallas,53000,16
St. Mary's University,52900,17
University of Houston-Clear Lake,50700,29
Amberton University,52800,0
Southwestern University,51800,19
Brigham Young University-Provo,59200,25
University of Utah,54800,22
Weber State University,53900,8
Utah State University,52400,14
Westminster College (Utah),51700,10
Western Governors University,54500,9
Utah Valley University,51100,12
Southern Utah University,46400,7
"Stevens-Henager College (Murray, Utah)",42400,51
Independence University,40500,2
Middlebury College,60400,19
University of Vermont,53200,22
Norwich University,57000,20
Saint Michael's College,52900,18
Vermont Technical College,52400,4
Bennington College,48800,5
Champlain College,51100,14
College of St Joseph,47000,0
Southern Vermont College,42900,17
Castleton University,41700,6
Green Mountain College,42000,2
Lyndon State College,41500,8
Johnson State College,39500,2
Washington and Lee University,65900,18
Virginia Military Institute,65900,47
University of Virginia-Main Campus,64500,23
Virginia Polytechnic Institute and State University,62700,42
College of William and Mary,59000,21
Hampden-Sydney College,58300,20
University of Richmond,59800,13
George Mason University,58900,23
James Madison University,57400,12
University of Mary Washington,54200,17
Jefferson College of Health Sciences,55500,1
Marymount University,52300,15
Hampton University,52700,12
Old Dominion University,50200,19
Lynchburg College,47700,11
Virginia Commonwealth University,49900,18
Christopher Newport University,50800,25
Shenandoah University,48700,7
Randolph College,47000,23
Roanoke College,48500,18
Longwood University,47300,9
Radford University,48900,10
The University of Virginia's College at Wise,46500,5
Virginia State University,44900,14
Ferrum College,43000,6
Seattle University,60600,12
University of Washington-Seattle Campus,61900,34
University of Washington-Bothell Campus,60200,26
Gonzaga University,57800,19
Washington State University,55900,20
Seattle Pacific University,53600,9
Whitman College,54600,33
