total_enrollment,women_proportion,Foreign_proportion,early_career_pay,stem_percent,net_cost,type,in_state_total,out_of_state_total
2222,0.5918091809180918,0,32500,11,10507,Public,14613,14613
8640,0.2261574074074074,0.1754629629629629,67300,80,11853,Public,20443,38773
6395,0.636903831,0.020797498,52200,13,15060,Private,52119,52119
2085,0.3247002398081535,0.1064748201438848,61200,61,10827,Public,17067,32230
20022,0.6320047947258016,0.027569673,50800,9,16097,Public,28354,36142
11052,0.6056822294607311,0.012757872,41300,9,8078,Public,19130,23606
2109,0.000474158,0.031294452,55700,26,24187,Private,41012,41012
2823,0.6840240878498052,0.016294722,44900,6,15826,Private,41140,41140
2440,0.5971311475409836,0.01147541,53400,20,15106,Private,64360,64360
11207,0.5863299723387169,0.073614705,44800,9,7565,Public,18274,33730
2083,0.6380220835333653,0.020643303,45700,8,18972,Private,43824,43824
2399,0.5927469779074614,0.03584827,45700,24,22943,Private,52136,52136
2922,0.3220396988364134,0.036618754,51700,14,28855,Private,43005,43005
8136,0.6339724680432645,0.017576205,48700,9,8164,Public,24789,34311
10646,0.2503287619763291,0.1693593838061243,64600,75,11452,Public,30938,46350
3546,0.6395939086294417,0.056119571,40400,4,9060,Public,14022,18174
2127,0.3215796897038082,0.070992008,64700,91,6355,Public,16280,30778
49274,0.5510614116978528,0.2332873320615334,63100,18,27274,Private,69984,69984
3687,0.6525630593978845,0.02278275,48000,11,17290,Private,39050,39050
6292,0.6311188811188811,0.022886205,44500,5,6256,Public,17920,19013
3043,0.5507722642129478,0.018402892,50400,9,15003,Private,49899,49899
8310,0.622864019,0.014681107,44500,7,5692,Public,14288,22358
19798,0.4931811294070108,0.2759369633296292,62500,40,18542,Private,68267,68267
27705,0.5889189676953619,0.044973831,49600,12,11442,Public,21846,36110
20611,0.5066226772111979,0.052884382,53000,20,15775,Public,23142,23142
15090,0.5601060304837641,0.031080186,49000,12,4640,Public,20054,29702
3531,0.6080430472953837,0.051543472,42300,7,10728,Public,16527,19500
6720,0.5349702380952381,0.1053571428571428,46900,26,7372,Public,19821,26473
2249,0.5838150289017341,0.023566029,46200,7,15998,Private,36700,36700
2166,0.5844875346260388,0.060941828,42200,11,5113,Public,11816,18933
21554,0.4690080727475179,0.1548204509603785,63400,20,15633,Private,71193,71193
