name,net_cost,type,degree_length,in_state_total,out_of_state_total
Florida Institute of Technology,25237.0,Private,4 Year,54730,54730
Florida International University,8811.0,Public,4 Year,17440,29838
Florida Keys Community College,13227.0,Public,2 Year,13477,23362
Florida Memorial University,15046.0,Private,4 Year,23352,23352
Florida SouthWestern State College,10644.0,Public,2 Year,12401,22944
Florida Southern College,26253.0,Private,4 Year,47998,47998
Florida State University,10676.0,Public,4 Year,17332,32499
Fond du Lac Tribal and Community College,11745.0,Public,2 Year,8856,8856
Fontbonne University,17295.0,Private,4 Year,36870,36870
Fordham University,21699.0,Private,4 Year,70656,70656
Fort Hays State University,8021.0,Public,4 Year,13433,23501
Fort Lewis College,9777.0,Public,4 Year,18918,29574
Fort Peck Community College,3974.0,Public,2 Year,8595,8595
Fort Scott Community College,3702.0,Public,2 Year,8650,9100
Fort Valley State University,12814.0,Public,4 Year,15036,28112
Framingham State University,12141.0,Public,4 Year,22641,28721
Francis Marion University,13607.0,Public,4 Year,19108,29492
Franciscan University of Steubenville,19421.0,Private,4 Year,36130,36130
Frank Phillips College,4759.0,Public,2 Year,7878,8890
Franklin College,13016.0,Private,4 Year,41956,41956
Franklin Pierce University,22857.0,Private,4 Year,50245,50245
Freed-Hardeman University,14940.0,Private,4 Year,30210,30210
Fresno Pacific University,10727.0,Private,4 Year,40128,40128
Friends University,16740.0,Private,4 Year,36387,36387
Frostburg State University,13511.0,Public,4 Year,19374,33094
Fulton-Montgomery Community College,6335.0,Public,2 Year,17330,21930
Gadsden State Community College,5291.0,Public,2 Year,8400,12030
Gannon University,15200.0,Private,4 Year,44786,44786
Garden City Community College,3702.0,Public,2 Year,8570,9140
Gardner-Webb University,19628.0,Private,4 Year,41610,41610
Garrett College,4937.0,Public,2 Year,12655,18145
Genesee Community College,4814.0,Public,2 Year,13360,13960
Geneva College,15762.0,Private,4 Year,36900,36900
George Fox University,17979.0,Private,4 Year,47270,47270
George Mason University,12120.0,Public,4 Year,23922,47382
Georgetown College,12420.0,Private,4 Year,48430,48430
Georgia Gwinnett College,10206.0,Public,4 Year,18994,31422
Georgia Southern University,13791.0,Public,4 Year,17492,30974
Georgia Southwestern State University,10456.0,Public,4 Year,14456,27532
Georgia State University,12475.0,Public,4 Year,22236,40810
Georgian Court University,12398.0,Private,4 Year,43684,43684
Gettysburg College,10802.0,Private,4 Year,67490,67490
Goddard College,21523.0,Private,4 Year,18284,18284
Gogebic Community College,6331.0,Public,2 Year,10524,12973
Goldey-Beacom College,19726.0,Private,4 Year,30700,30700
Gonzaga University,17726.0,Private,4 Year,55154,55154
Gordon College,20388.0,Private,4 Year,48470,48470
Gordon State College,8438.0,Public,2 Year,10948,19370
Goshen College,15200.0,Private,4 Year,44350,44350
Goucher College,18014.0,Private,4 Year,58806,58806
Governors State University,16925.0,Public,4 Year,22542,31932
Grace Bible College,14586.0,Private,4 Year,27650,27650
Grace University,11710.0,Private,4 Year,29942,29942
Grambling State University,12672.0,Public,4 Year,14627,23650
Grand Canyon University,15453.0,For Profit,4 Year,37190,37190
Grand Valley State University,11168.0,Public,4 Year,21174,26452
Grand View University,14069.0,Private,4 Year,36786,36786
Grayson College,6016.0,Public,2 Year,9300,11820
Great Basin College,8550.0,Public,4 Year,6494,12908
Great Lakes Christian College,16287.0,Private,4 Year,26020,26020
Green Mountain College,18559.0,Private,4 Year,48724,48724
Greensboro College,20683.0,Private,4 Year,39940,39940
Greenville University,14539.0,Private,4 Year,36200,36200
Grinnell College,8370.0,Private,4 Year,65202,65202
Guilford College,17655.0,Private,4 Year,49450,49450
Gustavus Adolphus College,13822.0,Private,4 Year,55310,55310
Gwynedd Mercy University,17331.0,Private,4 Year,47970,47970
Hamilton College,7025.0,Private,4 Year,68490,68490
Hamline University,15936.0,Private,4 Year,51656,51656
Hampden-Sydney College,8154.0,Private,4 Year,59304,59304
Hampshire College,17349.0,Private,4 Year,65274,65274
Hampton University,20397.0,Private,4 Year,38480,38480
Hannibal-LaGrange University,14371.0,Private,4 Year,30858,30858
Hanover College,12101.0,Private,4 Year,49250,49250
Harcum College,23806.0,Private,2 Year,34400,34400
Hardin-Simmons University,29807.0,Private,4 Year,37070,37070
Harding University,11525.0,Private,4 Year,27179,27179
Harris-Stowe State University,9406.0,Public,4 Year,14590,19223
Harrisburg University of Science and Technology,19056.0,Private,4 Year,30700,30700
Hartwick College,18514.0,Private,4 Year,57970,57970
Harvey Mudd College,10022.0,Private,4 Year,75003,75003
Haskell Indian Nations University,2907.0,Public,4 Year,1430,1430
Hastings College,15631.0,Private,4 Year,39750,39750
Haverford College,7021.0,Private,4 Year,70994,70994
Hawaii Pacific University,22711.0,Private,4 Year,40780,40780
Hebrew Theological College,28652.0,Private,4 Year,25300,25300
Heidelberg University,17551.0,Private,4 Year,41400,41400
Henderson State University,8277.0,Public,4 Year,15940,17590
Hendrix College,15059.0,Private,4 Year,58074,58074
Heritage Christian University,15537.0,Private,4 Year,18057,18057
Herkimer County Community College,6090.0,Public,2 Year,15448,18078
Hesston College,15122.0,Private,2 Year,35700,35700
Hibbing Community College,7832.0,Public,2 Year,8716,8716
High Point University,24821.0,Private,4 Year,49248,49248
Highland Community College,4092.0,Public,2 Year,9558,10038
Hilbert College,12383.0,Private,4 Year,31750,31750
Hill College,8164.0,Public,2 Year,6820,7970
Hinds Community College,5283.0,Public,2 Year,7250,10290
Hiram College,17471.0,Private,4 Year,44590,44590
Hiwassee College,12746.0,Private,2 Year,27558,27558
Hobe Sound Bible College,5865.0,Private,4 Year,12660,12660
Hocking College,8424.0,Public,2 Year,12950,17350
Hofstra University,26828.0,Private,4 Year,62708,62708
Hollins University,17184.0,Private,4 Year,52555,52555
Holmes Community College,5056.0,Public,2 Year,6190,8770
Holy Cross College,16857.0,Private,4 Year,42320,42320
